league_id,id_temporada,match_api_id,home_team_goal,away_team_goal,goal
21518,2,530233,1,0,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>406</event_incident_typefk><elapsed>63</elapsed><player2>33991</player2><subtype>header</subtype><player1>33989</player1><sortorder>1</sortorder><team>8302</team><id>483592</id><n>319</n><type>goal</type><goal_type>n</goal_type></value><value><comment>npm</comment><event_incident_typefk>159</event_incident_typefk><elapsed>78</elapsed><subtype>saved</subtype><player1>33989</player1><sortorder>1</sortorder><team>8302</team><id>483636</id><n>199</n><type>goal</type><goal_type>npm</goal_type></value></goal>
21518,2,530234,1,0,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>58</elapsed><player1>38382</player1><sortorder>0</sortorder><team>8696</team><id>482878</id><n>22</n><type>goal</type><goal_type>n</goal_type></value></goal>
21518,2,530235,2,4,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>27</elapsed><player1>75216</player1><sortorder>0</sortorder><team>8388</team><id>482256</id><n>30</n><type>goal</type><goal_type>n</goal_type></value><value><comment>p</comment><stats><penalties>1</penalties></stats><event_incident_typefk>20</event_incident_typefk><elapsed>33</elapsed><player1>25571</player1><sortorder>0</sortorder><team>8603</team><id>482390</id><n>22</n><type>goal</type><goal_type>p</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>45</elapsed><player1>30750</player1><sortorder>0</sortorder><team>8603</team><id>482624</id><n>31</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>45</elapsed><player1>42173</player1><sortorder>0</sortorder><team>8603</team><id>482643</id><n>23</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>56</elapsed><player1>38550</player1><sortorder>0</sortorder><team>8388</team><id>482820</id><n>25</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>85</elapsed><player1>42173</player1><sortorder>0</sortorder><team>8603</team><id>483141</id><n>26</n><type>goal</type><goal_type>n</goal_type></value></goal>
21518,2,530236,1,0,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>37</elapsed><player1>31045</player1><sortorder>0</sortorder><team>9783</team><id>482471</id><n>17</n><type>goal</type><goal_type>n</goal_type></value></goal>
21518,2,530237,0,0,<goal><value><comment>npm</comment><event_incident_typefk>159</event_incident_typefk><elapsed>20</elapsed><subtype>saved</subtype><player1>37497</player1><sortorder>1</sortorder><team>8371</team><id>482046</id><n>32</n><type>goal</type><goal_type>npm</goal_type></value></goal>
21518,2,530238,2,1,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>1</elapsed><player1>38699</player1><sortorder>0</sortorder><team>10205</team><id>481827</id><n>21</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>15</elapsed><player1>38551</player1><sortorder>0</sortorder><team>10205</team><id>482043</id><n>22</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>61</elapsed><player1>46384</player1><sortorder>0</sortorder><team>9865</team><id>482879</id><n>26</n><type>goal</type><goal_type>n</goal_type></value></goal>
21518,2,530239,4,3,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>80</event_incident_typefk><elapsed>6</elapsed><subtype>shot</subtype><player1>11758</player1><sortorder>2</sortorder><team>9864</team><id>479671</id><n>174</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>80</event_incident_typefk><elapsed>8</elapsed><subtype>shot</subtype><player1>25759</player1><sortorder>3</sortorder><team>8633</team><id>479676</id><n>178</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>80</event_incident_typefk><elapsed>18</elapsed><subtype>shot</subtype><player1>43310</player1><sortorder>1</sortorder><team>9864</team><id>479706</id><n>184</n><type>goal</type><goal_type>n</goal_type></value><value><comment>p</comment><stats><penalties>1</penalties></stats><event_incident_typefk>20</event_incident_typefk><elapsed>37</elapsed><player1>25759</player1><sortorder>1</sortorder><team>8633</team><id>479767</id><n>202</n><type>goal</type><goal_type>p</goal_type></value><value><comment>p</comment><stats><penalties>1</penalties></stats><event_incident_typefk>20</event_incident_typefk><elapsed>70</elapsed><player1>102612</player1><sortorder>0</sortorder><team>9864</team><id>479919</id><n>235</n><type>goal</type><goal_type>p</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>39</event_incident_typefk><elapsed>71</elapsed><subtype>distance</subtype><player1>25759</player1><sortorder>0</sortorder><team>8633</team><id>479920</id><n>237</n><type>goal</type><goal_type>n</goal_type></value><value><comment>npm</comment><event_incident_typefk>348</event_incident_typefk><elapsed>77</elapsed><subtype>saved_back_into_play</subtype><player1>25759</player1><sortorder>0</sortorder><team>8633</team><id>479931</id><n>135</n><type>goal</type><goal_type>npm</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>80</event_incident_typefk><elapsed>78</elapsed><subtype>shot</subtype><player1>25759</player1><sortorder>0</sortorder><team>8633</team><id>479932</id><n>244</n><type>goal</type><goal_type>n</goal_type></value></goal>
21518,2,530240,6,0,<goal><value><comment>dg</comment><event_incident_typefk>298</event_incident_typefk><elapsed>6</elapsed><subtype>shot</subtype><player1>30626</player1><sortorder>1</sortorder><team>8634</team><id>480042</id><n>7</n><type>goal</type><goal_type>dg</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>80</event_incident_typefk><elapsed>12</elapsed><subtype>shot</subtype><player1>33639</player1><sortorder>3</sortorder><team>8634</team><id>480066</id><n>146</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>80</event_incident_typefk><elapsed>30</elapsed><subtype>shot</subtype><player1>33639</player1><sortorder>1</sortorder><team>8634</team><id>480127</id><n>161</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>80</event_incident_typefk><elapsed>42</elapsed><subtype>shot</subtype><player1>33639</player1><sortorder>2</sortorder><team>8634</team><id>480137</id><n>166</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>80</event_incident_typefk><elapsed>44</elapsed><subtype>shot</subtype><player1>33639</player1><sortorder>0</sortorder><team>8634</team><id>480140</id><n>167</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>80</event_incident_typefk><elapsed>71</elapsed><subtype>shot</subtype><player1>33074</player1><sortorder>1</sortorder><team>8634</team><id>480189</id><n>187</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>80</event_incident_typefk><elapsed>83</elapsed><subtype>shot</subtype><player1>30626</player1><sortorder>2</sortorder><team>8634</team><id>480204</id><n>193</n><type>goal</type><goal_type>n</goal_type></value><value><comment>dg</comment><event_incident_typefk>298</event_incident_typefk><elapsed>86</elapsed><subtype>shot</subtype><player1>30981</player1><sortorder>1</sortorder><team>8634</team><id>480206</id><n>128</n><type>goal</type><goal_type>dg</goal_type></value></goal>
21518,2,530241,0,3,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>29</elapsed><player1>38701</player1><sortorder>0</sortorder><team>10267</team><id>483778</id><n>26</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>69</elapsed><player1>37824</player1><sortorder>0</sortorder><team>10267</team><id>483905</id><n>33</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>81</elapsed><player1>32762</player1><sortorder>0</sortorder><team>10267</team><id>483911</id><n>37</n><type>goal</type><goal_type>n</goal_type></value></goal>
21518,2,530242,3,3,<goal><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>11</elapsed><player1>31498</player1><sortorder>0</sortorder><team>8661</team><id>481976</id><n>22</n><type>goal</type><goal_type>n</goal_type></value><value><comment>p</comment><stats><penalties>1</penalties></stats><event_incident_typefk>20</event_incident_typefk><elapsed>43</elapsed><player1>33025</player1><sortorder>0</sortorder><team>8315</team><id>482578</id><n>26</n><type>goal</type><goal_type>p</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>57</elapsed><player1>38398</player1><sortorder>0</sortorder><team>8661</team><id>482852</id><n>28</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>74</elapsed><player1>38398</player1><sortorder>0</sortorder><team>8661</team><id>482999</id><n>30</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>78</elapsed><player1>96620</player1><sortorder>0</sortorder><team>8315</team><id>483071</id><n>31</n><type>goal</type><goal_type>n</goal_type></value><value><comment>n</comment><stats><goals>1</goals><shoton>1</shoton></stats><event_incident_typefk>71</event_incident_typefk><elapsed>90</elapsed><player1>33030</player1><sortorder>0</sortorder><team>8315</team><id>483242</id><n>32</n><type>goal</type><goal_type>n</goal_type></value></goal>
